"","exp","Tissue"
"GTEX-QV31-1526-SM-2S1QB",0.2918,"Nerve - Tibial"
"GTEX-OHPJ-0726-SM-2YUNM",0.2756,"Nerve - Tibial"
"GTEX-P78B-0626-SM-2S1O5",0.2076,"Nerve - Tibial"
"GTEX-QLQW-1426-SM-2S1QU",0.4554,"Nerve - Tibial"
"GTEX-Q2AH-1926-SM-2S1PN",0.524,"Nerve - Tibial"
"GTEX-RTLS-0326-SM-2TF6A",1.4206,"Nerve - Tibial"
"GTEX-OXRP-2526-SM-2S1NO",0.578,"Nerve - Tibial"
"GTEX-R55E-0426-SM-2TC65",1.9747,"Nerve - Tibial"
"GTEX-RNOR-0326-SM-2TF51",1.8871,"Nerve - Tibial"
"GTEX-NPJ8-1726-SM-2YUNB",0.7065,"Nerve - Tibial"
"GTEX-QESD-1726-SM-2S1R7",0.2372,"Nerve - Tibial"
"GTEX-QEG5-0526-SM-2S1PC",0.088,"Nerve - Tibial"
"GTEX-U3ZH-1626-SM-3DB74",2.931,"Nerve - Tibial"
"GTEX-T6MO-2026-SM-33HB4",1.9437,"Nerve - Tibial"
"GTEX-T6MN-0326-SM-32PMK",3.1704,"Nerve - Tibial"
"GTEX-S3XE-1926-SM-3K2B3",1.0612,"Nerve - Tibial"
"GTEX-WEY5-2226-SM-3GILQ",2.3333,"Nerve - Tibial"
"GTEX-WFG8-2526-SM-3GILR",0.5646,"Nerve - Tibial"
"GTEX-W5X1-2826-SM-3GILM",4.2624,"Nerve - Tibial"
"GTEX-UJMC-1926-SM-3GADS",1.3251,"Nerve - Tibial"
"GTEX-TMKS-0426-SM-3DB85",5.7218,"Nerve - Tibial"
"GTEX-S32W-2526-SM-2XCB8",0.6239,"Nerve - Tibial"
"GTEX-SIU8-0326-SM-2XCDR",3.2606,"Nerve - Tibial"
"GTEX-U8T8-0426-SM-3DB8X",0.4452,"Nerve - Tibial"
"GTEX-PVOW-0626-SM-2XCF6",4.8249,"Nerve - Tibial"
"GTEX-Q2AI-1626-SM-2S1P9",0.2294,"Nerve - Tibial"
"GTEX-QDT8-0326-SM-32PL1",3.431,"Nerve - Tibial"
"GTEX-SJXC-0326-SM-2XCFI",4.7856,"Nerve - Tibial"
"GTEX-SSA3-0526-SM-32QPL",3.814,"Nerve - Tibial"
"GTEX-SN8G-0426-SM-32PLF",1.967,"Nerve - Tibial"
"GTEX-TSE9-0326-SM-3DB82",1.4908,"Nerve - Tibial"
"GTEX-S95S-1526-SM-2XCDH",1.4943,"Nerve - Tibial"
"GTEX-S7SF-2126-SM-3K2B2",0.515,"Nerve - Tibial"
"GTEX-WFG7-2426-SM-3GIL2",0.7079,"Nerve - Tibial"
"GTEX-RWS6-2426-SM-2XCB9",0.8012,"Nerve - Tibial"
"GTEX-W5WG-2326-SM-3GIJH",0.8442,"Nerve - Tibial"
"GTEX-S4Q7-1426-SM-3K2B9",1.258,"Nerve - Tibial"
"GTEX-P44H-0526-SM-2XCF1",4.9911,"Nerve - Tibial"
"GTEX-QEL4-0426-SM-3GACZ",1.1554,"Nerve - Tibial"
"GTEX-TMMY-0526-SM-33HBC",1.3671,"Nerve - Tibial"
"GTEX-SUCS-1726-SM-32PM8",0.6037,"Nerve - Tibial"
"GTEX-S33H-2326-SM-2XCB3",3.0139,"Nerve - Tibial"
"GTEX-TML8-1626-SM-32QOO",8.2435,"Nerve - Tibial"
"GTEX-S4Z8-1926-SM-3K2AR",0.5814,"Nerve - Tibial"
"GTEX-S341-1926-SM-3K2BA",2.811,"Nerve - Tibial"
"GTEX-POYW-0426-SM-2XCEV",1.1957,"Nerve - Tibial"
"GTEX-U8XE-0526-SM-3DB8R",0.5684,"Nerve - Tibial"
"GTEX-T8EM-1526-SM-3DB7I",3.1961,"Nerve - Tibial"
"GTEX-WYJK-0326-SM-3NMA8",2.0808,"Nerve - Tibial"
"GTEX-OXRN-1426-SM-3LK5U",0.6997,"Nerve - Tibial"
